numero,region,pesqueria,id,archivo,ya_tiene_foto
1,Golfo de México y Mar Caribe,Bagres marinos,bagre-bandera,bagre-bandera.jpg,sí
2,Golfo de México y Mar Caribe,Mero y Negrillo,mero-negrillo,mero-negrillo.jpg,sí
3,Golfo de México y Mar Caribe,Pepino de Mar,pepino-mar,pepino-mar.jpg,sí
4,Golfo de México y Mar Caribe,Pez Espada,pez-espada,pez-espada.jpg,sí
5,Golfo de México y Mar Caribe,Camarón Café,camaron-cafe,camaron-cafe.jpg,sí
6,Golfo de México y Mar Caribe,Camarón rojo y roca,camaron-rojo-roca,camaron-rojo-roca.jpg,sí
7,Golfo de México y Mar Caribe,Caracoles,caracoles,caracoles.jpg,sí
8,Golfo de México y Mar Caribe,Langostinos,langostinos,langostinos.jpg,sí
9,Golfo de México y Mar Caribe,Pulpo,pulpo,pulpo.jpg,sí
10,Golfo de México y Mar Caribe,Robalo y Chucumite,robalo-chucumite,robalo-chucumite.jpg,sí
11,Golfo de México y Mar Caribe,Almejas,almejas,almejas.jpg,sí
12,Golfo de México y Mar Caribe,Camarón rosado del Golfo de México,gm-camaron-rosado-del-golfo-de-mexico,gm-camaron-rosado-del-golfo-de-mexico.jpg,no
13,Golfo de México y Mar Caribe,Huachinango y pargos del Golfo de México y Mar Caribe,gm-huachinango-y-pargos-del-golfo-de-mexico-y-mar-caribe,gm-huachinango-y-pargos-del-golfo-de-mexico-y-mar-caribe.jpg,no
14,Golfo de México y Mar Caribe,Ostión del Golfo de México,gm-ostion-del-golfo-de-mexico,gm-ostion-del-golfo-de-mexico.jpg,no
15,Golfo de México y Mar Caribe,Jaiba del Golfo de México,gm-jaiba-del-golfo-de-mexico,gm-jaiba-del-golfo-de-mexico.jpg,no
16,Golfo de México y Mar Caribe,Jurel y cojinuda del Golfo de México y Mar Caribe,gm-jurel-y-cojinuda-del-golfo-de-mexico-y-mar-caribe,gm-jurel-y-cojinuda-del-golfo-de-mexico-y-mar-caribe.jpg,no
17,Golfo de México y Mar Caribe,Langosta del Golfo de México y Mar Caribe,gm-langosta-del-golfo-de-mexico-y-mar-caribe,gm-langosta-del-golfo-de-mexico-y-mar-caribe.jpg,no
18,Golfo de México y Mar Caribe,Lisa y liseta o lebrancha del Golfo de México,gm-lisa-y-liseta-o-lebrancha-del-golfo-de-mexico,gm-lisa-y-liseta-o-lebrancha-del-golfo-de-mexico.jpg,no
19,Golfo de México y Mar Caribe,Rayas del Golfo de México,gm-rayas-del-golfo-de-mexico,gm-rayas-del-golfo-de-mexico.jpg,no
20,Golfo de México y Mar Caribe,Sierra y peto del Golfo de México,gm-sierra-y-peto-del-golfo-de-mexico,gm-sierra-y-peto-del-golfo-de-mexico.jpg,no
21,Golfo de México y Mar Caribe,Tiburones del Golfo de México y Mar Caribe,gm-tiburones-del-golfo-de-mexico-y-mar-caribe,gm-tiburones-del-golfo-de-mexico-y-mar-caribe.jpg,no
22,Golfo de México y Mar Caribe,Bandera y bagres,gm-bandera-y-bagres,gm-bandera-y-bagres.jpg,no
23,Golfo de México y Mar Caribe,Camarón siete barbas,gm-camaron-siete-barbas,gm-camaron-siete-barbas.jpg,no
24,Golfo de México y Mar Caribe,Cangrejos semiterrestres,gm-cangrejos-semiterrestres,gm-cangrejos-semiterrestres.jpg,no
25,Golfo de México y Mar Caribe,Peces marinos escama,gm-peces-marinos-escama,gm-peces-marinos-escama.jpg,no
